# genome1: Human
# genome2: Mouse
# genome3: Rat
# genome4: Chicken
# block_id genome1_chr genome1_start genome1_len genome1_sign genome2_chr genome2_start genome2_len genome2_sign genome3_chr genome3_start genome3_len genome3_sign genome4_chr genome4_start genome4_len genome4_sign
50 2 71802353 2001706 + 6 84607925 1695014 + 4 118543695 1642601 + 4 89655465 978855 -
51 2 76064489 1675378 + 6 80449350 1730016 - 4 114348660 1869824 - 22 1787706 408496 -
52 2 79853211 1147851 + 6 77185505 1139800 - 4 110758708 1277225 - 4 87436013 446112 -
53 2 85943592 1032909 + 6 71853651 857494 - 4 104847504 938995 - 4 85357001 393212 +
54 2 97994177 7630257 + 1 37215874 6365841 + 9 35721235 6629298 + 1 124968388 3300657 +
55 2 115415112 4060355 + 1 120993944 3947014 - 13 32808510 4366963 - 7 29300323 880825 -
56 2 120533577 2074773 + 1 118484297 1613962 - 13 30930962 1761927 - 7 26000996 945902 +
57 2 133381726 5341536 + 1 125923923 4654506 + 13 38191451 5015101 + 7 30381139 1509341 +
58 2 140143991 18753257 + 2 40145300 19204282 + 3 19146455 21027050 + 7 32251890 4658871 +
59 2 160864122 22978589 + 2 61099778 20441149 + 3 41898448 21179498 + 7 14679353 8085489 -
60 2 185156748 1585119 + 2 82739830 1365492 + 3 64363295 1511173 + 7 1518670 502185 -
61 2 189959889 689980 + 1 45636755 747020 + 9 44162653 835655 + 7 305466 316454 -
62 2 191962398 5153289 + 1 46917790 5890686 - 9 46396361 6115365 + 7 8714575 1902057 +
63 2 197831842 6219374 + 1 54996752 5793176 + 9 53188505 5647742 + 7 10833793 2066586 +
64 2 204109017 4998434 + 1 60833569 4792258 + 9 58875046 4880498 + 7 12918245 1637106 -
65 2 210646565 6367834 + 1 66966940 5878008 + 9 65276985 6176402 + 7 2392477 2086349 +
66 2 217163224 3540047 + 1 72978608 3273678 + 9 71609503 3381515 + 7 22845147 1414781 -
67 2 220747850 7874503 + 1 76292843 7407720 + 9 75039881 7359104 + 9 4151103 2529998 -
68 2 232124137 1524629 + 1 86227644 1202511 + 9 84991126 1240296 + 9 14496589 483636 +
69 2 233700342 967234 + 1 87458696 682543 + 9 86258960 821554 + 9 394881 311597 +
70 2 234672850 3111045 + 1 88143327 2275401 + 9 87082506 2483576 + 7 4940295 862049 -
71 2 239515832 1038232 + 1 91701822 706313 + 9 90916672 692561 + 7 5812712 493754 +
72 2 241977386 1101785 + 1 93240188 883901 + 9 92493906 866308 + 9 8509298 470794 +
73 3 432430 6195133 + 6 104420150 6668068 + 4 139468543 6808529 + 12 17243814 1477699 +
74 3 10832937 444242 + 6 114942297 351244 + 4 150312281 365251 + 12 4110426 322999 +
75 3 13335546 560773 + 6 91454252 403201 + 4 125436799 393854 + 12 5680504 446302 +
76 3 14140866 410380 + 6 91919447 322379 + 4 125900481 330026 + 12 10797934 300982 +
77 3 17021145 2542806 + 17 48877610 2403683 + 9 2076980 2697228 - 2 33714967 1128403 +
78 3 23130227 2703266 + 14 11572668 2763872 - 15 8409798 2370051 + 2 35945657 1113821 +
79 3 27730650 5176828 + 9 114551112 4039222 - 8 118923071 4482832 - 2 37707845 1956480 +
80 3 32966670 3001578 + 9 112037302 2496422 - 8 116535796 2367901 - 2 43501922 1194540 +
81 3 37938469 379368 + 9 119104871 339662 + 8 123969395 364063 + 2 4006873 419356 +
82 3 40617310 1648422 + 9 120748125 1034093 + 8 125646686 871132 + 2 42349119 578940 +
83 3 44755364 1568429 + 9 123238475 1157980 + 8 127710717 1183175 + 2 41772327 545431 -
84 3 46862992 483033 + 9 110536675 343817 - 8 114824191 338760 - 2 2954980 528368 +
85 3 47398152 787777 + 9 109972744 533573 - 8 114260558 532868 - 2 170491 335772 -
86 3 50317788 326699 + 9 107433481 313069 - 8 112518248 318325 - 12 1247951 453125 +
87 3 52443614 740386 + 14 25324095 613847 - 16 5954292 688184 - 12 481038 716555 +
88 3 53216980 3570401 + 14 22077842 3223533 - 16 2601970 3331748 - 12 7006204 1514293 +
89 3 58259582 4437234 + 14 3373760 4636187 + 15 13974360 4853472 - 12 11761521 1520262 +
90 3 66233111 8121805 + 6 95164442 7796282 + 4 129083827 8421760 + 12 14372141 2486854 +
91 3 75808829 11447246 + 16 65894746 10073984 - 11 2949219 11362270 - 1 86739374 5140313 -
92 3 88025376 2037768 + 16 63392213 1872733 - 11 20773 2166427 - 1 82768474 789939 +
93 3 95616811 3344878 + 16 59883166 2688174 - 11 38882670 2781593 + 1 83841358 1409367 +
94 3 101686202 11434632 + 16 45778005 11250531 - 11 44852728 11858458 + 1 79037554 3583788 +
95 3 114975974 5525896 + 16 38378315 5521910 - 11 58335894 5687578 + 1 74696695 2443673 -
96 3 120682022 1902647 + 16 36815471 1372493 - 11 64212290 1421488 + 1 73496550 800917 -
97 3 123780075 2842737 + 16 32981091 2636180 - 11 66831791 2631318 + 7 27142828 1717097 +
98 3 127772804 819252 + 6 89466000 640041 - 4 123265220 635683 - 12 9792120 549559 +
99 3 128613254 1233096 + 6 88517216 934871 - 4 122453246 797300 - 12 9175260 610620 -
100 3 131674474 2093519 + 9 104070730 1737323 - 8 109077269 1770929 - 2 40678715 792682 +
101 3 140492585 1305430 + 9 97244367 1239988 - 8 102348157 1357116 - 9 7141825 598487 -
102 3 143346378 2888114 + 9 93331856 2708684 - 8 98487186 2661489 - 9 2421125 818093 -
103 3 147493040 1915320 + 9 90284071 2035243 - 8 95226920 2120580 - 9 10972220 751799 +
104 3 157159178 9221742 + 3 65294052 8792436 + 2 154618858 9230022 + 9 20544661 1829143 -
105 3 169251716 1076559 + 3 28824228 1129512 + 2 113653480 1312178 + 9 19635252 328864 -
106 3 170389868 1175770 + 3 30015300 1049769 + 2 116467094 1134860 - 9 19244561 359482 -
107 3 173137351 4347557 + 3 22854392 4597616 - 2 108534621 4981950 - 9 17523845 1405630 -
108 3 181640779 2071942 + 3 33652500 1773629 + 2 120050362 1779169 + 9 15803032 776950 -
109 3 188265538 7460604 + 16 23226570 7153358 + 11 72071134 7574867 - 9 12225060 2043538 -
110 4 489464 498509 + 5 105512122 366985 + 14 1573775 403179 - Z 25146630 305471 +
111 4 1154015 2372591 + 5 31474537 1877454 + 14 81318434 1912236 - 4 82207629 2824790 -
112 4 4272335 4629581 + 5 33735117 2916293 - 14 77795199 3127969 + 4 78821402 2768880 +
113 4 11621465 45607366 + 5 38739436 37410744 + 14 33500450 42465585 - 4 65218071 12988924 -
114 4 58920413 5339253 + 5 77803705 4159987 + 14 27272903 4449628 - 4 47689235 1641999 +
115 4 65527886 3023456 + 5 82750861 2647452 + 14 23671473 2759088 - 4 51531886 649868 +
116 4 72021512 2488000 + 5 87825804 1777100 + 14 19311053 1785525 - 4 50562254 748447 +
117 4 77240295 1205674 + 5 91547938 986186 + 14 16441175 951048 - 4 50181353 357494 -
118 4 80032008 6208142 + 5 93927833 5124062 + 14 8916400 5277272 - 4 45427131 2138678 +
119 4 91095265 4602272 + 6 61015114 4432941 + 4 89846026 5024712 + 4 35832878 1813916 +
120 4 95902775 8675730 + 3 135830459 7166780 - 2 232686158 7597953 - 4 58746332 2786963 +
121 4 105496716 5421914 + 3 130631905 4498139 - 2 227449146 4561395 - 4 37756019 1903313 -
122 4 111062546 9924810 + 3 123260008 7306362 - 2 219398181 7967027 - 4 55191004 3481149 -
123 4 121550466 1046876 + 6 65848100 907490 - 4 95330550 1166615 - 4 54658304 371082 -
124 4 122709159 6155302 + 3 36040875 4278785 + 2 122621932 4789138 + 4 52362096 2262457 -
125 4 129023396 1231057 + 3 40469115 966306 + 2 127527839 974360 + 4 34734575 336583 +
126 4 130560468 11198922 + 3 41791739 10571109 + 2 128906854 12095212 + 4 26090099 3997287 +
127 4 141842145 9485721 + 8 74575194 8157753 - 19 26356468 8067185 + 4 30107910 3079477 +
128 4 151577088 2410301 + 3 85861657 2097840 - 2 176573999 2300272 - 4 33239348 1069104 +
129 4 154650983 9016999 + 3 76982578 8268119 - 2 166931718 9098751 - 4 20393057 3236280 +
130 4 168340728 3366027 + 8 59368556 2907686 - 16 29326226 3559341 + 4 25004764 1057417 +
131 4 173079151 5783840 + 8 52762949 5256316 - 16 34182070 6991754 + 4 43268371 1981629 +
132 4 178846491 8193140 + 8 44986366 7792047 - 16 41157379 8411047 + 4 39859902 3025685 -
133 4 187046337 4476165 + 8 40469674 4511202 - 16 49573405 4641489 + 4 61544585 1711728 +
134 5 244232 902896 + 13 70018616 581095 - 1 29727662 588344 + 2 55312236 332102 -
135 5 1798218 3088706 + 13 67264752 2331037 - 17 10808 2345961 + 2 85868798 1840965 +
136 5 10856254 20742489 + 15 12695642 18434258 - 2 62250098 20936559 - 2 68909652 9065951 -
137 5 43532516 9448818 + 13 111046420 5195009 - 2 46313603 5278462 - Z 6777453 2229488 +
138 5 54568007 14013031 + 13 97220519 12484629 - 2 31427785 12858142 - Z 212194 4959449 +
139 5 73153678 3207707 + 13 91791976 2634743 - 2 25716601 2856496 - Z 9502454 1219539 +
140 5 79813799 3841944 + 13 85211524 3654481 - 2 18766877 3914095 - Z 28464607 1788782 +
141 5 88161100 6202077 + 13 72931568 6951338 - 2 4030103 8108146 - W 723225 2391916 +
142 5 100158756 880153 + 1 95684911 790839 + 9 94967203 703907 + Z 21687721 438447 +
143 5 102842248 1708793 + 17 57284963 1607425 + 9 97597070 1710437 + Z 22549685 664339 +
144 5 126012696 1057079 + 18 56942442 910601 + 18 52390203 920678 + W 4054141 324066 +
145 5 130835820 1680851 + 11 53857200 1438685 - 10 38713502 1403892 - 13 15451484 736397 +
146 5 132557842 1572085 + 11 52297539 1530490 - 10 37222081 1461808 - 13 14650812 768156 -
147 5 134162651 3001872 + 13 54757183 2514718 + 17 12453394 2581086 - 13 13273963 1368369 -
148 5 137954068 886537 + 18 35197400 766857 + 18 27439161 903186 + 13 6744909 371191 +
149 5 138886340 1086021 + 18 36002685 950904 + 18 28383554 960363 + 13 288030 646934 +
150 5 140650304 717854 + 18 37790516 770104 + 18 30351604 889657 + 13 7139413 548720 -
151 5 144840432 2239625 + 18 41749252 2088374 + 18 34662503 2273155 + 13 16721110 366045 +
152 5 150433408 1651162 + 11 55503719 1394489 + 10 40329595 1460541 + 13 11576035 427604 -
153 5 154388538 4304426 + 11 44983455 4307499 - 10 29614030 4412298 - 13 9585253 1383385 -
154 5 159185650 12180777 + 11 33033047 11497794 - 10 17539203 11580696 - 13 1539613 5169558 +
155 5 172722574 794646 + 11 31521713 702098 + 10 15850061 678243 - 13 8321181 451898 +
156 5 178655140 786356 + 11 50731718 667561 - 10 35687781 690044 - 13 12380402 391654 -
157 6 281820 2499485 + 13 30143486 2396113 + 17 37959520 2287856 - 2 66191826 1270040 +
158 6 4819377 8775730 + 13 35214069 7564526 + 17 27229460 8130203 - 2 61886096 3522769 -
159 6 13692257 3721744 + 13 42846353 3124703 + 17 24209932 2950022 - 2 60263177 1429373 +
160 6 17867679 2239404 + 13 46279792 1666118 + 17 22382998 1627611 - 2 59401733 858700 -
161 6 20654524 4050308 + 13 24301953 4993629 - 17 41216127 6061030 + 2 57593009 1625773 -
162 6 24758994 1050641 + 13 23399072 887599 - 17 47294124 975312 + 2 89773066 358458 -
163 6 33600245 1882735 + 17 25728001 1300544 + 20 5268682 1300570 + 26 2642166 578531 -
164 6 37368493 1732591 + 17 28325835 1325329 + 20 7929517 1333651 + 3 25619685 903032 -
165 6 39375021 1602869 + 17 46808598 1358509 - 9 6299513 1459545 + 3 24225950 1165531 -
166 6 43350683 976194 + 17 43758815 905131 - 9 9954796 1138224 + 3 26522765 813615 -
167 6 44402264 2481240 + 17 41685912 1998948 - 9 11162908 2069654 + 3 106736313 1013597 +
168 6 49933760 2494627 + 1 18473029 2810253 + 9 17040013 2885814 + 3 105390252 1146082 -
169 6 52808811 3020887 + 9 76001749 2679722 - 8 80559385 2671233 - 3 85651697 1070916 -
170 6 56278258 17625888 + 1 21674195 13092122 - 9 20176564 12958718 - 3 79884536 5577456 -
171 6 75788149 10557879 + 9 79954175 8925725 + 8 84659361 9114933 + 3 75223027 4013877 -
172 6 88682998 11607245 + 4 21146229 12824347 - 5 36128229 14553077 - 3 69681053 4918728 -
173 6 100678048 15927922 + 10 34058488 17153850 - 20 38674939 16613866 - 3 62332604 7160363 -
174 6 117093246 6027666 + 10 51515970 6283219 + 20 30202466 6661459 + 3 59638523 2539107 -
175 6 123350299 4130283 + 10 29201659 4086307 - 1 24370144 4766096 + 3 57633787 1898066 -
176 6 128014807 6339887 + 10 22360965 6235902 - 1 17027103 6352605 + 3 55130503 2268561 -
177 6 135218989 9056373 + 10 12823539 8303352 - 1 7898417 8872719 - 3 51203050 3549968 -
178 6 145501967 4687688 + 10 7272400 4483489 - 1 2270486 4466854 - 3 45326241 1899950 +
179 6 150600719 2883051 + 10 3348528 2436605 + 1 34119143 2507198 + 3 47336852 1313485 +
180 6 155126031 2800596 + 17 3570739 2494844 - 1 38127530 2580054 + 3 49276217 1319532 +
181 6 161085559 5505749 + 17 7468296 4084847 - 1 42783306 4228340 + 3 39016997 2516196 -
182 6 168465542 2284597 + 17 12743644 1289453 + 1 53087454 1332973 + 3 36868146 1135725 -
183 7 513481 3602454 + 5 136738245 3121518 + 12 12801328 3222331 - 14 4325774 1735008 +
184 7 7032124 4649991 + 6 7620740 4949405 + 4 33056340 5166084 + 2 23998018 1773368 +
185 7 12354738 7138291 + 12 27572338 6723887 - 6 51792997 7567136 - 2 26033786 3016593 +
186 7 20138848 2011776 + 12 111906603 1743097 - 6 144790181 1761882 - 2 29285458 791969 +
187 7 23028486 6267732 + 6 49070179 5281727 + 4 77437351 5527300 + 2 30320231 2617059 +
188 7 30995806 1810016 + 6 55624038 1322716 + 4 84614095 1509766 + 2 47068933 695490 -
189 7 32999221 3080902 + 9 22423408 3079046 + 8 22202345 3083550 + 2 45889173 1140734 -
190 7 38158039 4549250 + 13 14038817 4543026 - 17 53555956 5191158 + 2 48245325 2010678 +
191 7 47880009 3146454 + 11 9205592 3260996 + 14 89681935 3645211 + 2 79919731 1194600 +
192 7 66267830 5012967 + 5 127815715 3840866 - 12 23687158 3463882 + 19 746745 1499384 -
193 7 76437658 6526008 + 5 12789017 6717230 - 4 9178714 7662548 + 1 10920676 3468999 +
194 7 83190404 1641456 + 5 10811047 1616257 - 4 17558264 1692821 + 1 1673225 904193 +
195 7 85893558 546862 + 5 4142725 607733 + 4 20755601 616849 + 1 3005070 304542 +
196 7 87520735 4737031 + 5 5882559 4792659 + 4 22690167 5097244 + 2 20311700 1897531 +
197 7 94012271 2346678 + 6 4526455 2173958 + 4 29600856 2604209 + 2 22992403 782439 +
198 7 97209708 1012519 + 5 141682939 858345 + 12 10084011 878867 - 14 3220074 375854 +
199 7 100518594 1156054 + 5 133735081 793787 - 12 20726185 923271 + 19 3256068 652457 +
200 7 102085175 2683130 + 5 19654983 2311536 + 4 6692031 2326895 - 1 9679529 1157309 -
201 7 106449329 874827 + 12 25267021 756850 - 6 48978665 867764 - 1 8734307 375213 -
202 7 107348543 4336995 + 12 34347126 4487435 - 6 59422474 4595350 - 1 23881772 1759151 -
203 7 112540008 14191799 + 6 13856145 14458960 + 4 39739057 15778188 + 1 17719922 5841054 -
204 7 130000325 2273232 + 6 31013922 2097402 + 4 58397682 2159830 + 1 225152 1391119 +
205 7 132353867 1130048 + 6 33197639 1018401 + 4 60682867 1173259 + 14 15187099 527019 -
206 7 133546098 525394 + 6 34273664 473612 + 4 61924502 509626 + 1 58748303 347016 +
207 7 135968288 1060871 + 6 36373739 992071 + 4 64055426 971582 + 1 54075903 505067 -
208 7 138663830 506345 + 6 38675884 428306 + 4 66543347 459577 + 1 52429264 415823 -
209 7 139442434 1415152 + 6 39322285 1150149 + 4 67118117 1194725 + 1 53440193 591078 +
210 7 143558854 3946596 + 6 43369893 3972396 + 4 71403201 4314096 + 2 52612509 1425386 +
211 7 150434130 6138695 + 5 22850168 5120636 + 4 782689 5064921 - 2 5655361 2441443 +
212 7 156645856 1509622 + 12 110592096 1150563 - 6 143485087 1159859 - 2 8152458 847106 +
213 8 1422028 5221457 + 8 14732450 4813227 + 16 75707120 4050133 - 3 86743965 2694938 -
214 8 9798878 2038524 + 14 53702156 1537035 - 15 42362446 1597205 - 3 104303967 988453 +
215 8 12589771 5349415 + 8 35132340 5248300 + 16 54297150 5408257 - 4 63276808 1931789 -
216 8 27979232 1091291 + 14 55363387 872079 - 15 44089759 938326 - 3 103615704 617946 +
217 8 52795797 3692773 + 1 3217450 3958435 - 5 12371747 4181533 + 2 108629344 1537693 +
218 8 56713472 5925509 + 4 3000677 6086345 + 5 16797546 6709696 + 2 110206411 2566911 +
219 8 63215267 811615 + 4 19701518 755895 - 5 34654470 819129 - 2 112888552 443902 +
220 8 64131009 2381079 + 3 15905367 2855391 + 2 100797607 3310953 + 2 113367522 975001 +
221 8 67504616 975758 + 1 9667795 853062 + 5 8287738 906608 - 2 114619478 366519 +
222 8 71290026 1040131 + 1 13364690 1059967 + 5 4120245 986691 - 2 116060834 404934 -
223 8 73529641 2623929 + 1 15426483 2777413 + 5 144646 2978578 - 2 116931860 1155189 +
224 8 76267298 9616226 + 3 3397496 10883908 + 2 88983845 11572820 - 2 118134968 3808931 +
225 8 88576509 8606420 + 4 9251285 8959599 - 5 23689402 9499218 - 2 122858498 3274251 +
226 8 97546992 16859091 + 15 32951511 15803414 + 7 68398252 16555293 + 2 126282533 6378967 +
227 8 115080030 4280375 + 15 49424463 4226853 + 7 85607859 4437641 + 2 133100459 1828617 -
228 8 120525772 22594834 + 15 54958903 19541712 + 7 91329925 20701115 + 2 137090186 10231649 -
229 9 4813531 1184950 + 19 28493343 705545 + 1 232924407 756229 + Z 11626383 380055 +
230 9 6787745 1855629 + 4 71586717 2029322 + 5 92104226 2321268 + Z 12206041 769622 +
231 9 15442997 5576548 + 4 80981929 5004389 + 5 102303668 5432639 + Z 13010092 2245240 -
232 9 22886040 1042634 + 4 87882738 1276680 + 5 109923692 1505140 + Z 33131836 368299 +
233 9 68197754 9777899 + 19 13547941 9108642 - 1 217655862 9168254 - Z 15748173 3203623 +
234 9 88947585 1030258 + 13 51667107 621521 + 17 17708715 774543 - Z 19196366 480982 -
235 9 90815024 1467823 + 13 48072639 854593 - 17 21214947 907260 + 12 6148066 807943 -
236 9 96430184 556150 + 4 45509348 465405 + 5 63241530 492354 + 2 87744020 526799 -
237 9 97318782 1265141 + 4 46292150 1122571 + 5 64062403 1181751 + 2 88980800 639025 -
238 9 103336453 1190632 + 4 52559318 1017098 + 5 70834487 1129516 + Z 26690177 390376 +
239 9 107175419 434869 + 4 56076674 388374 + 5 74792668 404947 + 2 84125117 499647 +
240 9 108517455 693612 + 4 57249233 534790 + 5 76030839 571554 + Z 32566169 322550 +
241 9 109501097 1531393 + 4 58000145 1122652 + 5 76831637 1225640 + Z 31904990 582378 -
242 9 111405589 784012 + 4 59799234 746086 + 5 79396194 720645 + 17 9403266 403751 +
243 9 113780533 4965827 + 4 61993525 5869335 + 5 81279146 6501430 + 17 6177635 1860357 -
244 9 119690479 3619027 + 2 36053931 3866920 + 3 14551554 4324719 + 17 862029 1111975 -
245 9 123358821 2173155 + 2 33257342 1907884 - 3 11872635 1821568 - 17 7945 853556 -
246 9 126452118 2659384 + 2 30045132 2083840 + 3 8769440 2092777 + 17 4799292 1005365 -
247 9 129770385 1487086 + 2 28810853 1163275 - 3 7530472 1143504 - 17 3618705 459543 -
248 9 131478913 2356044 + 2 27167494 1567187 + 3 5801232 1658748 + 17 2705407 838462 -
249 9 134045328 933302 + 2 26128444 775691 + 3 4035253 784463 + 17 2169012 535571 +
250 9 135008247 449812 + 2 25519670 399976 - 3 3420394 401465 - 17 9834563 666407 -
251 9 135718752 510015 + 2 24881581 318397 - 3 2888048 351035 - 17 8535790 390795 -
252 10 1048863 2813187 + 13 5583109 3155330 - 17 72573685 3104011 + 2 9800333 1433630 +
253 10 7769354 6414092 + 2 4129826 5965303 - 17 79716471 5495368 + 1 3598336 2596548 -
254 10 15556158 11977245 + 2 12092901 11353998 + 17 86434258 10370773 + 2 15255220 4487283 -
255 10 27674473 869624 + 18 6688709 870917 + 17 63456791 772061 + 2 14795483 463301 -
256 10 31004514 1344947 + 18 5095038 1127775 + 17 59707415 1204262 - 2 13549294 466486 -
257 10 33194664 1755228 + 8 126817950 1567496 - 19 57147483 1487592 - 2 12553246 880257 -
258 10 35629434 1466448 + 18 7968206 1473508 - 17 64666290 1513273 - 2 11688965 640750 -
259 10 42577168 408437 + 6 118754693 324390 - 4 154624717 329804 - 6 4169081 345039 -
260 10 48737134 1387245 + 14 27222997 1046951 - 16 8003008 1119965 - 6 17358344 599466 +
261 10 54910542 993930 + 10 73518038 876075 - 20 14512412 868584 + 6 5646344 348461 -
262 10 60895652 3828620 + 10 66681978 3216757 - 20 19172987 3235270 + 6 7149231 1346839 -
263 10 71244251 1868794 + 10 59823212 1527324 - 20 27494009 1587950 - 6 10771752 474198 +
264 10 74480255 3886085 + 14 15424967 3209518 + 15 580591 3495288 - 6 12810500 2637676 -
265 10 79084495 1464900 + 14 19432728 1325729 + 16 4083 1356773 + 6 11373921 1065408 -
266 10 83298435 1112997 + 14 33102136 1103734 - 16 14678720 1139654 - 6 2884484 370444 -
267 10 87026284 1579117 + 14 28972753 1335821 - 16 9875099 1327097 - 6 1135513 1039720 +
268 10 93364265 2596005 + 19 36285606 1988397 + 1 241402502 1911583 + 6 18983631 1051852 -
269 10 101780304 526450 + 19 44040027 503043 + 1 249723882 493390 + 6 16198078 477554 -
270 10 102340192 1234558 + 19 44577176 1149122 + 1 250250072 1305204 + 6 21621557 579964 -
271 10 103893385 16990419 + 19 46021074 14867261 + 1 251845536 16062225 + 6 22229857 6997116 +
272 10 121880901 12173471 + 7 118009978 10548460 + 1 188668056 10899045 + 6 29550108 4265369 +
273 11 484689 2084413 + 7 130181263 2056484 + 1 201508792 2112966 + 5 11019492 2515722 -
274 11 8096282 4832558 + 7 97268679 3890869 + 1 166718669 4103172 + 5 5263380 2442753 -
275 11 14281615 3041733 + 7 102320346 2486666 + 1 172177811 2611108 + 5 7858446 1554506 +
276 11 17372780 1357583 + 7 34743457 998759 + 1 96694701 1027218 + 5 9430473 846450 +
277 11 19128827 3684911 + 7 37414886 3241853 + 1 98645018 3239927 + 5 438064 1339764 -
278 11 27812446 5151809 + 2 106280111 4818177 - 3 89990467 5021849 - 3 42872501 1838810 -
279 11 34465917 10264343 + 2 94624385 10276568 - 3 77627306 10983076 - 5 15649044 3731694 +
280 11 45407898 2162496 + 2 92195064 1901002 - 3 75152789 1941077 - 5 20082079 1350074 -
281 11 61345239 349588 + 19 8876285 322330 - 1 212485227 356987 - 5 14034071 325493 +
282 11 67596804 761566 + 19 6790383 552357 + 1 206032088 538932 - 5 13551304 452846 +
